Category: All categories

Month,polution: (Worldwide)
2004-01,82
2004-02,87
2004-03,93
2004-04,94
2004-05,100
2004-06,57
2004-07,30
2004-08,43
2004-09,63
2004-10,77
2004-11,80
2004-12,76
2005-01,72
2005-02,82
2005-03,80
2005-04,87
2005-05,87
2005-06,52
2005-07,32
2005-08,33
2005-09,56
2005-10,71
2005-11,73
2005-12,62
2006-01,64
2006-02,63
2006-03,72
2006-04,62
2006-05,67
2006-06,46
2006-07,29
2006-08,31
2006-09,42
2006-10,56
2006-11,65
2006-12,44
2007-01,53
2007-02,54
2007-03,59
2007-04,53
2007-05,57
2007-06,39
2007-07,27
2007-08,29
2007-09,41
2007-10,56
2007-11,60
2007-12,48
2008-01,51
2008-02,49
2008-03,48
2008-04,51
2008-05,47
2008-06,34
2008-07,30
2008-08,33
2008-09,34
2008-10,41
2008-11,48
2008-12,36
2009-01,39
2009-02,38
2009-03,38
2009-04,37
2009-05,34
2009-06,24
2009-07,17
2009-08,18
2009-09,23
2009-10,29
2009-11,28
2009-12,22
2010-01,26
2010-02,26
2010-03,27
2010-04,30
2010-05,29
2010-06,19
2010-07,16
2010-08,16
2010-09,19
2010-10,24
2010-11,22
2010-12,19
2011-01,21
2011-02,23
2011-03,23
2011-04,22
2011-05,21
2011-06,16
2011-07,13
2011-08,13
2011-09,17
2011-10,18
2011-11,21
2011-12,17
2012-01,20
2012-02,19
2012-03,19
2012-04,17
2012-05,17
2012-06,13
2012-07,11
2012-08,12
2012-09,14
2012-10,16
2012-11,15
2012-12,13
2013-01,17
2013-02,16
2013-03,17
2013-04,16
2013-05,16
2013-06,14
2013-07,10
2013-08,11
2013-09,13
2013-10,16
2013-11,16
2013-12,16
2014-01,16
2014-02,16
2014-03,25
2014-04,17
2014-05,16
2014-06,12
2014-07,11
2014-08,13
2014-09,16
2014-10,16
2014-11,17
2014-12,14
2015-01,15
2015-02,17
2015-03,19
2015-04,17
2015-05,15
2015-06,14
2015-07,12
2015-08,14
2015-09,18
2015-10,20
2015-11,19
2015-12,20
2016-01,19
2016-02,19
2016-03,17
2016-04,17
2016-05,17
2016-06,14
2016-07,11
2016-08,14
2016-09,17
2016-10,17
2016-11,21
2016-12,25
2017-01,27
2017-02,22
2017-03,19
2017-04,16
2017-05,17
2017-06,15
2017-07,13
2017-08,13
2017-09,15
2017-10,19
2017-11,23
2017-12,16
2018-01,17
2018-02,18
2018-03,16
2018-04,18
2018-05,18
2018-06,14
2018-07,12
2018-08,14
2018-09,14
2018-10,17
2018-11,19
2018-12,15
2019-01,15
2019-02,18
2019-03,17
2019-04,17
2019-05,17
2019-06,16
2019-07,12
2019-08,12
2019-09,20
2019-10,17
